,Return,Std Dev,Symbol(Name)
COLM.O,14.34,31.16,COLM.O (컬럼비아 스포츠웨어)
ALKS.O,16.53,43.34,ALKS.O (앨커미스)
FELE.O,20.16,31.75,FELE.O (프랭클린 일렉트릭)
UMBF.O,12.24,31.33,UMBF.O (UMB 파이낸셜)
SLM.O,18.99,34.17,SLM.O (SLM)
LOPE.O,21.23,32.67,LOPE.O (그랜드 캐년 에듀케이션)
LYFT.O,-10.61,70.83,LYFT.O (리프트)
EEFT.O,21.7,35.21,EEFT.O (유로넷 월드와이드)
OS.O,138.77,26.31,OS.O (원스트림)
RNA.O,47.4,78.96,RNA.O (에비디티 바이오사이언스)
CNXC.O,-5.03,37.56,CNXC.O (콘센트릭스)
CRSP.O,45.25,65.08,CRSP.O (크리스퍼 테라퓨틱스)
HWC.O,9.71,36.42,HWC.O (핸콕 휘트니)
IPAR.O,25.39,37.14,IPAR.O (인터 퍼퓸)
RARE.O,20.35,58.03,RARE.O (울트라제닉스 파마슈티컬)
APLS.O,50.03,72.0,APLS.O (아펠리스 파머수티컬스)
TIGO.O,-7.32,43.1,TIGO.O (밀리콤 인터내셔널 셀룰러)
VIRT.O,9.04,35.69,VIRT.O (버투 파이낸셜)
PECO.O,11.26,25.15,PECO.O (필립스 에디슨 & 코)
BGC.O,16.15,40.94,BGC.O (Bgc 그룹)
CRDO.O,75.66,69.48,CRDO.O (크레도 테크놀로지 그룹 홀딩)
TSEM.O,14.54,43.96,TSEM.O (타워 세미컨덕터)
RDNT.O,43.09,51.2,RDNT.O (래드넷)
