,Return,Std Dev,Symbol(Name)
LYB,21.1,35.44,LYB (라이온델바젤 인더스트리스)
AME,20.3,24.42,AME (아메텍)
BALL.K,-0.41,34.96,BALL.K (볼)
SBAC.O,16.58,25.1,SBAC.O (SBA 커뮤니케이션스)
DOV,17.74,26.33,DOV (도버)
CBOE.K,16.99,24.61,CBOE.K (Cboe 글로벌 마켓)
TEL,17.53,26.09,TEL (TE 커넥티비티)
WBD.O,-32.27,54.6,WBD.O (워너 브로스 디스커버리)
VICI.K,12.37,31.74,VICI.K (VICI 프라퍼티)
SWK,8.42,31.69,SWK (스탠리 블랙 & 데커)
ETR,4.88,21.59,ETR (엔터지)
LDOS.K,15.02,26.8,LDOS.K (레이도스 홀딩스)
RF,15.22,36.92,RF (리전스 파이낸셜)
MGM,22.6,44.04,MGM (MGM 리조트 인터내셔널)
PRU,10.75,31.55,PRU (푸르덴셜 파이낸셜)
CZR.O,40.21,85.02,CZR.O (시저스 엔터테인먼트)
EXPD.K,12.5,24.16,EXPD.K (익스페디터스 인터내셔널 오브 워싱턴)
IR,18.6,34.66,IR (잉가솔랜드)
ETSY.O,28.34,59.59,ETSY.O (엣시)
DRI,16.88,32.45,DRI (다든 레스토랑)
UAL.O,18.61,47.27,UAL.O (유나이티드 에어라인스 홀딩스)
SOLV.K,-63.88,34.97,SOLV.K (솔벤텀)
TTWO.O,29.64,34.9,TTWO.O (테이크-투 인터랙티브 소프트웨어)
SWKS.O,23.62,40.62,SWKS.O (스카이웍스 솔루션스)
CE,18.65,33.08,CE (셀라니즈 코퍼레이션)
CPAY.K,23.85,30.55,CPAY.K (콜페이)
VMC,18.84,31.76,VMC (벌칸 머티리얼스)
BFb,10.12,22.73,BFb (브라운-포맨 Class B)
POOL.O,25.73,28.77,POOL.O (풀)
JBHT.O,15.35,25.82,JBHT.O (J.B 헌트 운송 서비스)
BAX,5.25,23.17,BAX (박스터 인터내셔널)
NDAQ.O,21.49,25.07,NDAQ.O (나스닥)
