,Return,Std Dev,Symbol(Name)
OTIS.K,20.27,24.23,OTIS.K (오티스 월드와이드)
HOLX.O,17.83,27.46,HOLX.O (홀로직)
STX.O,24.53,40.64,STX.O (씨게이트 테크놀로지 홀딩스)
SYF,15.11,37.38,SYF (싱크로니 파이낸셜)
MET,9.95,30.69,MET (메트라이프)
NWSA.O,9.72,29.16,NWSA.O (뉴스 코퍼레이션 Class A)
BBY,15.2,39.1,BBY (베스트 바이)
MSI,24.52,24.16,MSI (모토로라 솔루션스)
NI,14.84,22.01,NI (나이소스)
LYB,21.04,35.36,LYB (라이온델바젤 인더스트리스)
NUE,15.32,31.91,NUE (뉴코)
GIS,6.64,19.25,GIS (제너럴 밀즈)
DRI,16.3,32.4,DRI (다든 레스토랑)
DOW,8.02,36.39,DOW (다우)
ETR,5.56,21.62,ETR (엔터지)
CPAY.K,24.25,30.54,CPAY.K (콜페이)
MSCI.K,28.05,30.09,MSCI.K (MSCI)
IRM,17.4,27.98,IRM (아이언 마운틴)
GEHC.O,28.09,30.86,GEHC.O (GE HealthCare Technologies Inc)
IQV,21.13,27.95,IQV (아이큐비아 홀딩스)
PPG,13.24,25.38,PPG (PPG 인더스트리스)
GNRC.K,28.7,43.06,GNRC.K (제네락 홀딩스)
CFG,13.33,37.52,CFG (시티즌스 파이낸셜 그룹)
RF,15.4,36.86,RF (리전스 파이낸셜)
MTCH.O,24.36,47.9,MTCH.O (매치 그룹)
AES,8.61,30.94,AES (AES)
PTC.O,24.77,32.97,PTC.O (PTC)
HPE,13.53,34.74,HPE (휴렛패커드 엔터프라이즈)
ZBH,8.22,25.68,ZBH (짐머 바이오멧 홀딩스)
TSN,13.68,28.1,TSN (타이슨 푸드)
TPR,8.72,39.81,TPR (태피스트리)
PRU,10.19,31.59,PRU (푸르덴셜 파이낸셜)
AMP,24.39,32.63,AMP (아메리프라이즈 파이낸셜)
PPL,3.9,21.09,PPL (PPL)
CF,21.59,39.21,CF (CF 인더스트리스 홀딩스)
UDR,8.56,24.48,UDR (UDR)
HIG,17.02,31.53,HIG (하트포드 파이낸셜 서비스 그룹)
SWKS.O,23.12,40.65,SWKS.O (스카이웍스 솔루션스)
FTV,12.19,26.78,FTV (포티브)
GLW,10.46,29.69,GLW (코닝)
FE,3.85,23.89,FE (퍼스트에너지)
CDW.O,29.49,27.94,CDW.O (CDW)
PNC,11.68,27.99,PNC (PNC 파이낸셜 서비스)
DLR,10.52,26.76,DLR (디지털 리얼티 트러스트)
GDDY.K,28.58,34.95,GDDY.K (고대디)
CAH,11.7,26.44,CAH (카디널 헬스)
CE,18.0,33.07,CE (셀라니즈 코퍼레이션)
MOH,32.59,39.41,MOH (몰리나 헬스케어)
BIIB.O,19.24,39.22,BIIB.O (바이오젠)
RMD,19.68,30.13,RMD (레스메드)
XYL,17.81,26.3,XYL (자일럼)
MAA,10.68,23.18,MAA (미드아메리카 아파트 커뮤니티)
LH,11.59,24.78,LH (랩코프 홀딩스)
LHX,16.05,24.87,LHX (L3 해리스 테크놀러지)
APA.O,31.52,54.09,APA.O (APA (US))
ANSS.O,18.97,28.49,ANSS.O (앤시스)
EXPD.K,12.05,24.18,EXPD.K (익스페디터스 인터내셔널 오브 워싱턴)
FITB.O,14.55,34.52,FITB.O (피프스 서드 뱅코프)
NDAQ.O,22.39,25.1,NDAQ.O (나스닥)
KMX,17.44,35.81,KMX (카맥스)
DOV,17.43,26.35,DOV (도버)
JBHT.O,15.43,25.9,JBHT.O (J.B 헌트 운송 서비스)
RL,12.29,35.61,RL (랄프 로렌)
VICI.K,13.68,31.62,VICI.K (VICI 프라퍼티)
WY,11.17,30.49,WY (와이어하우저)
EVRG.O,9.35,21.12,EVRG.O (에버지)
UHS,19.46,32.42,UHS (유니버셜 헬스 서비스)
